Haltestelle;Linie;Status;Ausstieg;Aufzug;Rolltreppe
Ulrepforte;16;nicht barrierefrei;;;
Uniklinik Köln;9;barrierefrei;;;
Universität;9;barrierefrei;;;
Universitätsstraße;1, 7;barrierefrei;;;
Urfeld;16;barrierefrei;;;
Venloer Straße/Gürtel;3, 4;barrierefrei;;;
Venloer Straße/Gürtel;13;nicht barrierefrei;;;
Vingst;9;barrierefrei;;;
Von-Sparr-Straße;4;barrierefrei;;;
Weiden Römergrab;1;barrierefrei;;;
Weiden West;1;barrierefrei;;;
Weiden Zentrum;1;barrierefrei;;;
Weinsbergstraße/Gürtel;13;nicht barrierefrei;;;
Weißhausstraße;18;barrierefrei;;;
Wesseling;16;eingeschraenkt barrierefrei;;;
Wesseling Nord;16;nicht barrierefrei;;;
Westhoven Berliner Straße;7;barrierefrei;;;
Westhoven Kölner Straße;7;eingeschraenkt barrierefrei;;;
Weyertal;9;barrierefrei;;;
Wichheimer Straße;3, 13, 18;barrierefrei;;;
Wilhelm-Sollmann-Straße;12, 15;barrierefrei;;;
Wolffsohnstraße;3, 4;barrierefrei;;;
Wüllner Straße;7;barrierefrei;;;
Wüllnerstraße;13;nicht barrierefrei;;;
Zollstock Südfriedhof;12;barrierefrei;;;
Zollstockgürtel;12;barrierefrei;;;
Zülpicher Platz;9, 12, 15;barrierefrei;;;
Zülpicher Straße/Gürtel;9;barrierefrei;;;
Zülpicher Straße/Gürtel;13;nicht barrierefrei;;;
Zündorf;7;barrierefrei;;;
