Haltestelle;Haltestelle_Name;Gleis;Linie;Fahrtrichtung;Ebene;Aufzug_vorhanden;Rolltreppe_vorhanden
BIK;Rochusplatz;2;3;Görlinger-Zentrum;;JA;JA
BIK;Rochusplatz;2;4;Bocklemünd;;JA;JA
BIK;Rochusplatz;1;3;Thielenbruch;;JA;JA
BIK;Rochusplatz;1;4;Schlebusch;;JA;JA
BRE;Breslauer Platz Hbf;2;16;Niehl Sebastianstr.;;JA;JA
BRE;Breslauer Platz Hbf;2;18;Buchheim Herler Str. [Reichenspergerplatz];;JA;JA
BRE;Breslauer Platz Hbf;3;16;Bad Godesberg Stadthalle [Ubierring | Sürth Bf | Wesseling | Bonn Hbf];;JA;JA
BRE;Breslauer Platz Hbf;3;18;Bonn Hbf [Klettenbergpark | Schwadorf];;JA;JA
BRE;Breslauer Platz Hbf;3;5;Heumarkt;;JA;JA
BRE;Breslauer Platz Hbf;1;16;Niehl Sebastianstr.;;JA;JA
BRE;Breslauer Platz Hbf;1;18;Buchheim Herler Str. [Reichenspergerplatz];;JA;JA
BRE;Breslauer Platz Hbf;2;16;Bad Godesberg Stadthalle [Ubierring | Sürth Bf | Wesseling | Bonn Hbf];;JA;JA
BRE;Breslauer Platz Hbf;2;18;Bonn Hbf [Klettenbergpark | Schwadorf];;JA;JA
CHW;Chorweiler S;3;15;Ubierring;;JA;JA
CWP;Chlodwigplatz;3;15;Chorweiler [Longerich Friedhof];;JA;JA
CWP;Chlodwigplatz;3;16;Niehl Sebastianstr.;;JA;JA
CWP;Chlodwigplatz;2;17;Sürth Bf [Rodenkirchen Bf];;JA;JA
CWP;Chlodwigplatz;2;17;Severinstraße;;JA;JA
CWP;Chlodwigplatz;4;16;Bad Godesberg;;JA;JA
DBS;Dasselstr Bf Sued;4;12;15 16 18;;NEIN;NEIN
DOM;Dom Hbf;2;16;Niehl Sebastianstr.;;JA;JA
DOM;Dom Hbf;2;18;Buchheim Herler Str. [Reichenspergerplatz];;JA;JA
DOM;Dom Hbf;3;16;Bad Godesberg Stadthalle [Ubierring | Sürth Bf | Wesseling | Bonn Hbf];;JA;JA
DOM;Dom Hbf;3;18;Bonn Hbf [Klettenbergpark | Schwadorf];;JA;JA
DOM;Dom Hbf;3;5;Heumarkt;;JA;JA
DOM;Dom Hbf;1;16;Niehl Sebastianstr.;;JA;JA
DOM;Dom Hbf;1;18;Buchheim Herler Str. [Reichenspergerplatz];;JA;JA
DOM;Dom Hbf;2;16;Bad Godesberg Stadthalle [Ubierring | Sürth Bf | Wesseling | Bonn Hbf];;JA;JA
DOM;Dom Hbf;2;18;Bonn Hbf [Klettenbergpark | Schwadorf];;JA;JA
EBP;Ebertplatz;3;16;Bad Godesberg Stadthalle [Ubierring |;;JA;JA
EBP;Ebertplatz;4;12;Zollstock Südfriedhof;;JA;JA
EBP;Ebertplatz;4;15;Ubierring;;JA;JA
EBP;Ebertplatz;1;16;Niehl Sebastianstr.;;JA;JA
EBP;Ebertplatz;1;18;Buchheim Herler Str. [Reichenspergerplatz];;JA;JA
FSP;Friesenplatz;4;12;Merkenich [NiehlNord];;NEIN;JA
FSP;Friesenplatz;4;15;Chorweiler [Longerich Friedhof];;NEIN;JA
FSP;Friesenplatz;1;3;Görlinger-Zentrum;;NEIN;JA
FSP;Friesenplatz;1;4;Bocklemünd [Rochusplatz];;NEIN;JA
FSP;Friesenplatz;1;5;Sparkasse Am Butzweilerhof;;NEIN;JA
FSP;Friesenplatz;2;3;Thielenbruch;;NEIN;JA
FSP;Friesenplatz;2;4;Schlebusch;;NEIN;JA
FSP;Friesenplatz;3;15;Ubierring;;NEIN;JA
GSP;Geldernstr-Parkguertel;4;13;Thielenbruch 3;;JA;JA
HBP;Hans-Boeckler-Platz Bf West;2;3;Görlinger-Zentrum;;JA;JA
HBP;Hans-Boeckler-Platz Bf West;2;4;Bocklemünd [Rochusplatz];;JA;JA
HBP;Hans-Boeckler-Platz Bf West;2;5;Sparkasse Am Butzweilerhof;;JA;JA
HSR;Hansaring;3;12;Zollstock Südfriedhof;;JA;JA
HSR;Hansaring;4;12;Merkenich [Niehl Nord];;JA;JA
KKP;Kalk Kapelle;1;1;Weiden West [Junkersdorf];;JA;JA
KKP;Kalk Kapelle;1;9;Sülz Hermeskeiler Platz [Universität];;JA;JA
KKP;Kalk Kapelle;2;1;Bensberg [Brück Mauspfad|Refrath];;JA;JA
KKP;Kalk Kapelle;2;9;Königsforst;;JA;JA
LEU;Leuchterstr;1;4;Bocklemünd [Rochusplatz];;NEIN;NEIN
NEU;Neumarkt;5;5;6;;JA;JA
NEU;Neumarkt;5;1;Weiden West [Junkersdorf];;JA;JA
NEU;Neumarkt;5;7;Frechen-Benzelrath;;JA;JA
NEU;Neumarkt;5;7;Frechen-Benzelrath;;JA;JA
NEU;Neumarkt;5;9;Sülz Hermeskeiler Platz;;JA;JA
NEU;Neumarkt;3;1;Bensberg [Brück;;JA;JA
NEU;Neumarkt;3;9;Königsforst;;JA;JA
NEU;Neumarkt;2;3;Thielenbruch;;JA;JA
NEU;Neumarkt;2;4;Schlebusch;;JA;JA
NEU;Neumarkt;2;3;Görlinger-Zentrum;;JA;JA
NEU;Neumarkt;2;16;Bad Godesberg Stadthalle;;JA;JA
NEU;Neumarkt;2;4;Bocklemünd [Rochusplatz];;JA;JA
NEU;Neumarkt;1;16;Niehl Sebastianstr.;;JA;JA
NEU;Neumarkt;1;18;Bonn Hbf [Klettenbergpark | Schwadorf];;JA;JA
NEU;Neumarkt;1;18;Buchheim Herler Str. [Reichenspergerplatz];;JA;JA
NSG;Neusser Str Guertel;1;12;Merkenich [Niehl Nord];;JA;JA
NSG;Neusser Str Guertel;1;15;Chorweiler;;JA;JA
SEV;Severinstrasse;4;3;Görlinger-Zentrum;;JA;JA
SEV;Severinstrasse;4;4;Bocklemünd [Rochusplatz];;JA;JA
SEV;Severinstrasse;3;3;Thielenbruch;;JA;JA
SLA;Slabystrasse;3;13;Sülzgürtel 4;;NEIN;NEIN
SLA;Slabystrasse;3;13;Thielenbruch;;NEIN;NEIN
SLA;Slabystrasse;3;1;2;;NEIN;NEIN
SZG;Suelzguertel;3;13;Thielenbruch 1;;NEIN;NEIN
SZG;Suelzguertel;3;18;Bonn Hbf [Klettenbergpark | Schwadorf];;NEIN;NEIN
SZG;Suelzguertel;3;3;4;;NEIN;NEIN
SZG;Suelzguertel;3;18;Buchheim Herler Str. [Reichenspergerplatz] 4;;NEIN;NEIN
UNI;Universitaet;3;1;2;;NEIN;NEIN
VSG;Venloer Str Guertel U Bf;3;13;Sülzgürtel;;JA;JA
VSG;Venloer Str Guertel U Bf;3;3;Görlinger-Zentrum;;JA;JA
VSG;Venloer Str Guertel U Bf;2;4;Bocklemünd [Rochusplatz];;JA;JA
VSG;Venloer Str Guertel U Bf;1;3;Thielenbruch;;JA;JA
VSG;Venloer Str Guertel U Bf;4;13;Thielenbruch;;JA;JA
WPL;Muelheim Wiener Platz;2;4;Schlebusch 4;;JA;JA
WPL;Muelheim Wiener Platz;2;13;Sülzgürtel;;JA;JA
WPL;Muelheim Wiener Platz;2;18;Bonn Hbf [Klettenbergpark | Schwadorf];;JA;JA
WPL;Muelheim Wiener Platz;1;13;Thielenbruch;;JA;JA
WPL;Muelheim Wiener Platz;1;18;Buchheim Herler Str.;;JA;JA
WRB;Weiden Zentrum;2;1;Weiden West;;NEIN;NEIN
