Kurzname;Haltestelle;Linie;Gleis;Fahrtrichtung;Barrierefreiheit;Ebene;Ausstieg_aus_der_Bahn;Aufzug;Rolltreppe;Rampe;Aufzug_Fahrtrichtung_Hinweis
PSS;Poststraße;3;;;JA;Straße;;;;;A1: Fahrtrichtung: Neumarkt | A2: Fahrtrichtung: Suevenstr. / Barbarossaplatz
PSS;Poststraße;4;;;JA;Straße;;;;;A1: Fahrtrichtung: Neumarkt | A2: Fahrtrichtung: Suevenstr. / Barbarossaplatz
PST;Porz Steinstraße;7;;;JA;Straße;;;;;
PZM;Porz Markt;7;;;JA;Straße;;;;;
RAI;Raiffeisenstraße;7;;;JA;Straße;;;;;
RAT;Rathaus;5;;;JA;U-Bahn;;;;;A1: Mittelbahnsteig | A2: am Roteshaus
RDP;Rudolfplatz;1;;;;Straße;;;;;A1: Fahrtrichtung: Friesenplatz | A2: Fahrtrichtung: Zülpicher Platz
RDP;Rudolfplatz;12;;;JA;U-Bahn;;;;;A1: Fahrtrichtung: Friesenplatz | A2: Fahrtrichtung: Zülpicher Platz
RDP;Rudolfplatz;15;;;JA;U-Bahn;;;;;A1: Fahrtrichtung: Friesenplatz | A2: Fahrtrichtung: Zülpicher Platz
RDP;Rudolfplatz;7;;;;Straße;;;;;A1: Fahrtrichtung: Friesenplatz | A2: Fahrtrichtung: Zülpicher Platz
RFR;Refrath;1;;;JA;;;;;;
RHM;Rath/Heumar;9;;;JA;;;;;;
RKL;Rektor-Klein-Straße;5;;;JA;;;;;;
ROE;Röttgensweg;9;;;JA;;;;;;
RPP;Reichenspergerplatz;16;;;NEIN;U-Bahn;Hohe Stufen;;;;
RPP;Reichenspergerplatz;18;;;NEIN;U-Bahn;Hohe Stufen;;;;
RSH;Rosenhügel;7;;;JA;;;;;;
SBU;Sülzburgstraße;18;;;JA;Straße;;;;;
SCE;Scheibenstraße;12;;;JA;Straße;;;;;
SCE;Scheibenstraße;15;;;JA;Straße;;;;;
SEV;Severinstraße;17;;;JA;Straße;Erhöhter Bahnsteig;;;;A1: Aufzug zur Zwischenebene | A2: Fahrtrichtung: Deutz | A3: Fahrtrichtung: Poststr. | A4: Aufzug zur Straßenebene vor Hotel Mercure
SEV;Severinstraße;3;3;Thielenbruch;JA;Straße;Erhöhter Bahnsteig;JA;JA;;A1: Aufzug zur Zwischenebene | A2: Fahrtrichtung: Deutz | A3: Fahrtrichtung: Poststr. | A4: Aufzug zur Straßenebene vor Hotel Mercure
SEV;Severinstraße;3;4;Görlinger-Zentrum;JA;Straße;Erhöhter Bahnsteig;JA;JA;;A1: Aufzug zur Zwischenebene | A2: Fahrtrichtung: Deutz | A3: Fahrtrichtung: Poststr. | A4: Aufzug zur Straßenebene vor Hotel Mercure
SEV;Severinstraße;4;4;Bocklemünd [Rochusplatz];JA;Straße;Erhöhter Bahnsteig;JA;JA;;A1: Aufzug zur Zwischenebene | A2: Fahrtrichtung: Deutz | A3: Fahrtrichtung: Poststr. | A4: Aufzug zur Straßenebene vor Hotel Mercure
SGH;Stüttgenhof;7;;;eingeschraenkt;;;;;;
SGS;Siegstraße;16;;;JA;;;;;;
SGS;Siegstraße;17;;;JA;;;;;;
SHP;Sülz Hermeskeiler Platz;9;;;JA;;;;;;
SHS;Schönhauser Straße;16;;;JA;Straße;;;;;
SHS;Schönhauser Straße;17;;;JA;Straße;;;;;
SLA;Slabystraße;13;3;Thielenbruch;NEIN;;Stufen, Treppen;NEIN;NEIN;;
SLA;Slabystraße;13;4;Sülzgürtel;NEIN;;Stufen, Treppen;NEIN;NEIN;;
SLA;Slabystraße;18;1;Buchheim Herler Str.;NEIN;;Stufen, Treppen;NEIN;NEIN;;
SLA;Slabystraße;18;2;Bonn Hbf [Klettenbergpark|Schwadorf];NEIN;;Stufen, Treppen;NEIN;NEIN;;
SLB;Schlebusch;4;;;JA;;;;;;
SRG;Schaffrathsgasse;3;;;JA;;;;;;
SSG;Subbelrather Straße/Gürtel;13;;;NEIN;Straße;Hohe Stufen;;;;
SSG;Subbelrather Straße/Gürtel;5;;;NEIN;Straße;Hohe Stufen;;;;
STD;RheinEnergieSTADION;1;;;JA;Straße;;;;;
STE;Stegerwaldsiedlung;3;;;JA;Straße;;;;;
STE;Stegerwaldsiedlung;4;;;JA;Straße;;;;;
SUT;Sürth Bf;16;;;JA;;;;;;
SUT;Sürth Bf;17;;;JA;;;;;;
SVB;Severinsbrücke;7;;;JA;Straße;;;;;
SVS;Suevenstraße;3;;;JA;Straße;;;;;
SVS;Suevenstraße;4;;;JA;Straße;;;;;
SWG;Steinweg;9;;;JA;;;;;;
SZG;Sülzgürtel;13;1;Thielenbruch;JA;Straße;;NEIN;NEIN;;
SZG;Sülzgürtel;13;2;Sülzgürtel;JA;Straße;;NEIN;NEIN;;
SZG;Sülzgürtel;18;3;Bonn Hbf [Klettenbergpark | Schwadorf];JA;Straße;;NEIN;NEIN;;
SZG;Sülzgürtel;18;4;Buchheim Herler Str. [Reichenspergerplatz];JA;Straße;;NEIN;NEIN;;
THB;Thielenbruch;13;;;JA;Straße;;;;;
THB;Thielenbruch;3;;;JA;Straße;;;;;
UBI;Ubierring;15;;;JA;Straße;;;;;
UBI;Ubierring;16;;;NEIN;Straße;;;;;
ULR;Ulrepforte;15;;;JA;Straße;;;;;
ULR;Ulrepforte;16;;;NEIN;Straße;;;;;
UNI;Universität;9;;;JA;Straße;;;;;
UNV;Universitätsstraße;1;;;JA;Straße;;;;;
UNV;Universitätsstraße;7;;;JA;Straße;;;;;
URF;Urfeld;16;;;JA;;;;;;
VGT;Vingst;9;;;JA;;;;;;A1: Fahrtrichtung: Sülz | A2: Fahrtrichtung: Königsforst
VOC;Brühl Vochem;18;;;JA;;;;;;
VRS;Holweide Vischeringstraße;13;;;JA;;;;;;
VRS;Holweide Vischeringstraße;18;;;JA;;;;;;
VRS;Holweide Vischeringstraße;3;;;JA;;;;;;
VSG;Venloer Straße/Gürtel;13;;;NEIN;;;;;;A1: Mittelbahnsteig
VSG;Venloer Straße/Gürtel;3;;;JA;;;;;;A1: Mittelbahnsteig
VSG;Venloer Straße/Gürtel;4;;;JA;;;;;;A1: Mittelbahnsteig
VSS;Von-Sparr-Straße;4;;;JA;Straße;;;;;
WBS;Westhoven Berliner Straße;7;;;JA;;;;;;
WDK;Buchforst Waldecker Straße;3;;;JA;;;;;;
WEN;Wesseling Nord;16;;;NEIN;;;;;;
WEP;Weißhausstraße;18;;;JA;;;;;;
WES;Wesseling;16;;;eingeschraenkt;;;;;;
WEW;Weiden West;1;;;JA;;;;;;
WEY;Weyertal;9;;;JA;Straße;;;;;
WIC;Wichheimer Straße;13;;;JA;;;;;;
WIC;Wichheimer Straße;18;;;JA;;;;;;
WIC;Wichheimer Straße;3;;;JA;;;;;;
WKS;Westhoven Kölner Straße;7;;;eingeschraenkt;;;;;;
WNS;Weiden Römergrab;1;;;JA;;;;;;
WOF;Wolffsohnstraße;3;;;JA;;;;;;
WOF;Wolffsohnstraße;4;;;JA;;;;;;
WPL;Mülheim Wiener Platz;13;1;Thielenbruch;JA;U-Bahn;;JA;JA;;A1: Mittelbahnsteig unten <> Ausgang Frankfurter Straße | A2: Mittelbahnsteig unten <> Linie 4 oben
WPL;Mülheim Wiener Platz;13;2;Sülzgürtel;JA;U-Bahn;;JA;JA;;A1: Mittelbahnsteig unten <> Ausgang Frankfurter Straße | A2: Mittelbahnsteig unten <> Linie 4 oben
WPL;Mülheim Wiener Platz;18;1;Buchheim Herler Str.;JA;U-Bahn;;JA;JA;;A1: Mittelbahnsteig unten <> Ausgang Frankfurter Straße | A2: Mittelbahnsteig unten <> Linie 4 oben
WPL;Mülheim Wiener Platz;18;2;Bonn Hbf [Klettenbergpark | Schwadorf];JA;U-Bahn;;JA;JA;;A1: Mittelbahnsteig unten <> Ausgang Frankfurter Straße | A2: Mittelbahnsteig unten <> Linie 4 oben
WPL;Mülheim Wiener Platz;4;3;Bocklemünd [Rochusplatz];;Straße;;JA;JA;;A1: Mittelbahnsteig unten <> Ausgang Frankfurter Straße | A2: Mittelbahnsteig unten <> Linie 4 oben
WPL;Mülheim Wiener Platz;4;4;Schlebusch;;Straße;;JA;JA;;A1: Mittelbahnsteig unten <> Ausgang Frankfurter Straße | A2: Mittelbahnsteig unten <> Linie 4 oben
WRB;Weiden Zentrum;1;2;Weiden West;JA;;;NEIN;NEIN;;
WSS;Wilhelm-Sollmann-Straße;12;;;JA;;;;;;
WSS;Wilhelm-Sollmann-Straße;15;;;JA;;;;;;
WUE;Wüllnerstraße;13;;;NEIN;;;;;;
WUE;Wüllnerstraße;7;;;JA;;;;;;
ZDF;Zündorf;7;;;JA;;;;;;
ZOO;Zoo-Flora;18;2;Buchheim Herler Str.;;;;NEIN;NEIN;;
ZPG;Zülpicher Straße/Gürtel;13;;;NEIN;Straße;Hohe Stufen;;;;
ZPG;Zülpicher Straße/Gürtel;9;;;JA;Straße;;;;;
ZPL;Zülpicher Platz;12;;;JA;Straße;;;;;
ZPL;Zülpicher Platz;15;;;JA;Straße;;;;;
ZPL;Zülpicher Platz;9;;;JA;Straße;;;;;
ZSF;Zollstock Südfriedhof;12;;;JA;Straße;;;;;
