Kurzname;Haltestelle;Linie;Gleis;Fahrtrichtung;Barrierefreiheit;Ebene;Ausstieg_aus_der_Bahn;Aufzug;Rolltreppe;Rampe;Aufzug_Fahrtrichtung_Hinweis
FWN;Fordwerke Nord;12;;;JA;;;;;;
FWS;Fordwerke Süd;12;;;JA;;;;;;
GEE;Geestemünder Straße;12;;;JA;;;;;;
GOW;Gottesweg;12;;;JA;Straße;;;;;
GRU;Grünstraße;4;;;JA;Straße;;;;;
GSG;Gleueler Straße/Gürtel;13;;;NEIN;;;;;;
GSP;Geldernstraße/Parkgürtel;13;3;Thielenbruch;NEIN;U-Bahn;;JA;JA;;
GUT;Gutenbergstraße;5;;;JA;Straße;;;;;
HBP;Hans-Böckler-Platz/Bf West;3;2;Görlinger-Zentrum;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Friesenplatz - BF Deutz Messe - Mülheim Wiener PLatz | A2: Fahrtrichtung: Piusstr. - Gutenbergstr.
HBP;Hans-Böckler-Platz/Bf West;4;2;Bocklemünd [Rochusplatz];JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Friesenplatz - BF Deutz Messe - Mülheim Wiener PLatz | A2: Fahrtrichtung: Piusstr. - Gutenbergstr.
HBP;Hans-Böckler-Platz/Bf West;5;2;Sparkasse Am Butzweilerhof;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Friesenplatz - BF Deutz Messe - Mülheim Wiener PLatz | A2: Fahrtrichtung: Piusstr. - Gutenbergstr.
HEI;Heimersdorf;15;;;JA;;;;;;A1: Fahrtrichtung: Chorweiler | A2: Fahrtrichtung: Longerich
HFD;Herforder Straße;15;;;JA;;;;;;
HFR;Sportpark Höhenberg;1;;;eingeschraenkt;;;;;;
HGW;Zollstockgürtel;12;;;JA;Straße;;;;;
HHB;Hürth-Hermülheim;18;;;JA;;;;;;
HLU;Heinrich-Lübke-Ufer;16;;;JA;Straße;;;;;
HLU;Heinrich-Lübke-Ufer;17;;;JA;Straße;;;;;
HMG;Heumarkt;1;4;Weiden West [Junkersdorf];JA;Straße;;JA;JA;;A1: Fahrtrichtung: Deutzer Freiheit <> Ausgang Kasinostr. | A2: Fahrtrichtung: Neumarkt
HMG;Heumarkt;5;2;Sparkasse Am Butzweilerhof;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Deutzer Freiheit <> Ausgang Kasinostr. | A2: Fahrtrichtung: Neumarkt
HMG;Heumarkt;7;4;Frechen-Benzelrath [Moltkestr. | Aachener Str. / Gürtel | Frechen Bf ];JA;Straße;;JA;JA;;A1: Fahrtrichtung: Deutzer Freiheit <> Ausgang Kasinostr. | A2: Fahrtrichtung: Neumarkt
HMG;Heumarkt;9;4;Sülz Hermeskeiler Platz [Universität];JA;Straße;;JA;JA;;A1: Fahrtrichtung: Deutzer Freiheit <> Ausgang Kasinostr. | A2: Fahrtrichtung: Neumarkt
HSR;Hansaring;12;3;Zollstock Südfriedhof;JA;;;JA;JA;;A1: Fahrtrichtung: Christophstr. - Friesenplatz - Zollstock - Chlodwigplatz | A2: Fahrtrichtung: Ebertplatz - Chorweiler - Merkenich
HSR;Hansaring;12;4;Merkenich [Niehl Nord];JA;;;JA;JA;;A1: Fahrtrichtung: Christophstr. - Friesenplatz - Zollstock - Chlodwigplatz | A2: Fahrtrichtung: Ebertplatz - Chorweiler - Merkenich
HSR;Hansaring;15;;;JA;;;;;;A1: Fahrtrichtung: Christophstr. - Friesenplatz - Zollstock - Chlodwigplatz | A2: Fahrtrichtung: Ebertplatz - Chorweiler - Merkenich
HTH;Herthastraße;12;;;JA;;;;;;
HVO;Haus Vorst;7;;;eingeschraenkt;;;;;;
IAK;IKEA Am Butzweilerhof;5;;;JA;Straße;;;;;
IHK;Im Hoppenkamp;1;;;eingeschraenkt;;;;;;
ILT;Iltisstraße;5;;;JA;Straße;;;;;
IMW;Im Weidenbruch;4;;;JA;;;;;;
JUK;Junkersdorf;1;;;JA;Straße;;;;;
KAF;Kalker Friedhof;1;;;JA;;;;;;
KAT;Kartäuserhof;17;;;JA;;;;;;A1: Mittelbahnsteig
KEU;Keupstraße;4;;;JA;Straße;;;;;
KGF;Königsforst;9;;;JA;;;;;;
KIB;Kiebitzweg;18;;;JA;;;;;;
KIP;Kippekausen;1;;;JA;;;;;;
KKP;Kalk Kapelle;1;1;Weiden West [Junkersdorf];JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Kalk Post | A2: Fahrtrichtung: Fuldaer Str. - Vingst
KKP;Kalk Kapelle;1;2;Bensberg [Brück Mauspfad|Refrath];JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Kalk Post | A2: Fahrtrichtung: Fuldaer Str. - Vingst
KKP;Kalk Kapelle;9;1;Sülz Hermeskeiler Platz [Universität];JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Kalk Post | A2: Fahrtrichtung: Fuldaer Str. - Vingst
KKP;Kalk Kapelle;9;2;Königsforst;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Kalk Post | A2: Fahrtrichtung: Fuldaer Str. - Vingst
KKR;Kinderkrankenhaus;16;;;JA;Straße;;;;;
KLB;Klettenbergpark;18;;;JA;Straße;;;;;
KNS;Kölner Straße;1;;;JA;;;;;;
KOE;Alter Flughafen Butzweilerhof;5;;;JA;;;;;;
KOR;Körnerstraße;3;;;JA;U-Bahn;;;;;A1: Mittelbahnsteig
KOR;Körnerstraße;4;;;JA;U-Bahn;;;;;A1: Mittelbahnsteig
KPO;Kalk Post;1;;;JA;U-Bahn;;;;;A1: Fahrtrichtung: Deutz Technische Hochschule | A2: Fahrtrichtung: Kalk Kapelle
KPO;Kalk Post;9;;;JA;U-Bahn;;;;;A1: Fahrtrichtung: Deutz Technische Hochschule | A2: Fahrtrichtung: Kalk Kapelle
KPS;Sparkasse Am Butzweilerhof;5;;;JA;Straße;;;;;
LEN;Lenauplatz;5;;;JA;Straße;;;;;
LEU;Leuchterstraße;4;1;Bocklemünd [Rochusplatz];JA;;;NEIN;NEIN;;
LEY;Leyendeckerstraße;3;;;JA;U-Bahn;;;;;A1: Mittelbahnsteig
LEY;Leyendeckerstraße;4;;;JA;U-Bahn;;;;;A1: Mittelbahnsteig
LGR;Longerich Friedhof;15;;;NEIN;;;;;;
LGS;Longericher Straße;15;2;Ubierring;JA;;;NEIN;NEIN;;
LIE;Liebigstraße;5;;;JA;Straße;;;;;
LIN;Uniklinik Köln;9;;;JA;Straße;;;;;
LOH;Lohsestraße;12;;;NEIN;U-Bahn;;;;;
LOH;Lohsestraße;15;;;NEIN;U-Bahn;;;;;
LUS;Lustheide;1;;;JA;;;;;;
MAA;Maarweg;1;;;JA;Straße;;;;;
MAD;Marsdorf;7;;;eingeschraenkt;Straße;;;;;
MAK;Mauritiuskirche;9;;;JA;Straße;;;;;
MAR;Margaretastraße;5;;;JA;;;;;;
MBA;Mülheim Berliner Straße;4;;;JA;Straße;;;;;
MEE;Meerfeldstraße;15;;;JA;;;;;;
MEK;Merkenich;12;;;JA;;;;;;
MEL;Melaten;1;;;JA;Straße;;;;;
MEL;Melaten;7;;;JA;Straße;;;;;
MEM;Merkenich Mitte;12;;;JA;;;;;;
MEN;Görlinger-Zentrum;3;;;JA;;;;;;
MGD;Alter Militärring;1;;;JA;;;;;;
MHG;Mühlengasse;7;;;JA;;;;;;
MHS;Maria Himmelfahrt Straße;13;;;JA;;;;;;
MHS;Maria Himmelfahrt Straße;3;;;JA;;;;;;
